base_score,[482.01937117]
age,Score
"(-inf, 36.0]",-4.123853823252283
"(36.0, 54.0]",-2.2064185786113724
"(54.0, 61.0]",1.960595199862395
"(61.0, 74.0]",7.966363482440507
"(74.0, inf]",13.51218421063751
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.59762452609841
"(0.099, 0.298]",14.547916343169474
"(0.298, 0.465]",-2.73117564446832
"(0.465, 0.982]",-23.266083732015577
"(0.982, 1.0]",-10.21472616242411
"(1.0, inf]",-44.180017461636474
DebtRatio,Score
"(-inf, 0.0174]",33.07398286239646
"(0.0174, 0.402]",0.7916416556496348
"(0.402, 1.469]",-8.507062858193295
"(1.469, inf]",3.8553476819249415
MonthlyIncome,Score
"(-inf, 0.0918]",18.759443347624757
"(0.0918, 5588.528]",-3.4050808447873133
"(5588.528, inf]",3.4580096126852338
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.710471216218705
"(1.0, 3.0]",-2.6338710680531423
"(3.0, 5.0]",-0.43331446755502184
"(5.0, 17.0]",0.9855126162288586
"(17.0, inf]",3.669761989330821
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.524051120531231
"(0.0, 1.0]",-13.698587039652228
"(1.0, 2.0]",-21.595750123749877
"(2.0, inf]",-24.206653914673822
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.94485935833816
"(0.0, 1.0]",-29.312381282450712
"(1.0, 2.0]",-37.53479582242147
"(2.0, inf]",-39.97973838074086
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.606175382972674
"(0.0, 1.0]",5.285773136937695
"(1.0, 2.0]",16.598232324963305
"(2.0, 4.0]",10.423414749453073
"(4.0, inf]",-8.002429451964204
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0191365689835754
"(0.0, 1.0]",-11.321700589072673
"(1.0, 2.0]",-14.466459494785882
"(2.0, inf]",-14.762865575216143
NumberOfDependents,Score
"(-inf, 0.0]",14.528042311421318
"(0.0, 1.0]",-13.480778125123178
"(1.0, 2.0]",-12.286519566127371
"(2.0, inf]",-11.122672993927539
