iter	MultiClass
0	2.013757715
1	1.821107105
2	1.672383558
3	1.549357544
4	1.442117842
5	1.353571496
6	1.282404038
7	1.213269495
8	1.159252809
9	1.102156577
10	1.046786337
11	0.9974408838
12	0.9586253396
13	0.9192024889
14	0.8804471999
15	0.8453431308
16	0.8193991434
17	0.7870983232
18	0.7552106531
19	0.7295859094
20	0.703843217
21	0.6803637551
22	0.6587363021
23	0.638908857
24	0.6194428755
25	0.6019782606
26	0.5841764872
27	0.570433909
28	0.55387715
29	0.5429057277
30	0.5300475073
31	0.5200931645
32	0.5058617439
33	0.4939153717
34	0.4844202144
35	0.4722635976
36	0.4622159575
37	0.4524698529
38	0.4421067359
39	0.4322331313
40	0.4228279007
41	0.4127829183
42	0.4038646293
43	0.398543479
44	0.3908856773
45	0.3832725405
46	0.3768661446
47	0.3724237448
48	0.3651255224
49	0.3592262149
50	0.3520119279
51	0.3458326318
